
=== Placas com data 20/06/2026 ===
Total de placas v├ílidas na planilha: 235
Com dados insuficientes: 0

=== ATEN├ç├âO: 4 placas t├¬m inspe├º├Áes duplicadas ===
DYC9G10: 2 inspe├º├Áes (LANCADO(NF:5835), EMITIDA(NF:5835))
EGP7854: 2 inspe├º├Áes (LANCADO(NF:5833), LANCADO(NF:5852))
BRY7J69: 2 inspe├º├Áes (LANCADO(NF:5827), LANCADO(NF:5827))
DYN6E82: 2 inspe├º├Áes (LANCADO(NF:5811), EMITIDA(NF:5811))

=== RESUMO DO BANCO ===
Emitidas/Lan├ºadas: 152
Erro: 0
Processando: 1
Fila: 82
Aguardando: 0
N├úo encontradas no banco: 0

--- Emitidas/Lan├ºadas ---
DZV8B15 | AGUARDANDO | NF:  | Job: FILA
NRU2A16 | AGUARDANDO | NF:  | Job: FILA
CEP2I41 | AGUARDANDO | NF:  | Job: FILA
TCL5J47 | AGUARDANDO | NF:  | Job: FILA
FNF7489 | AGUARDANDO | NF:  | Job: FILA
MMC3A74 | AGUARDANDO | NF:  | Job: FILA
EYV0C99 | AGUARDANDO | NF:  | Job: FILA
EIZ7105 | AGUARDANDO | NF:  | Job: FILA
BKD0B14 | AGUARDANDO | NF:  | Job: FILA
EVB3J47 | AGUARDANDO | NF:  | Job: FILA
PUI6A05 | AGUARDANDO | NF:  | Job: FILA
SYZ4G16 | AGUARDANDO | NF:  | Job: FILA
BKD2D52 | AGUARDANDO | NF:  | Job: FILA
GEL8B04 | AGUARDANDO | NF:  | Job: FILA
BXC4E46 | AGUARDANDO | NF:  | Job: FILA
EDZ3I74 | AGUARDANDO | NF:  | Job: FILA
QPB7E51 | AGUARDANDO | NF:  | Job: FILA
SIV2J47 | AGUARDANDO | NF:  | Job: FILA
GIL3G14 | AGUARDANDO | NF:  | Job: FILA
UAI6D63 | AGUARDANDO | NF:  | Job: FILA
FMC9B77 | AGUARDANDO | NF:  | Job: FILA
DUA4783 | AGUARDANDO | NF:  | Job: FILA
CVW9J70 | AGUARDANDO | NF:  | Job: FILA
BXN1554 | AGUARDANDO | NF:  | Job: FILA
